url,category,issue,type,details
https://truongvietanh.com/10-truong-dai-hoc-hang-dau-an-do/,Performance,Moderate Response Time,warning,Page took 1894.04ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-truong-dai-hoc-hang-dau-an-do/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-truong-dai-hoc-hang-dau-an-do/,SEO,Title Too Long,warning,Title is 63 characters (recommended: ≤60)
https://truongvietanh.com/10-truong-dai-hoc-hang-dau-the-gioi-nam-2016/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/10-truong-dai-hoc-hang-dau-the-gioi-nam-2016/,Performance,Moderate Response Time,warning,Page took 1536.32ms to respond (recommended: <1000ms)
https://truongvietanh.com/10-truong-dai-hoc-hang-dau-the-gioi-nam-2016/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/10-truong-dai-hoc-hang-dau-the-gioi-nam-2016/,SEO,Title Too Long,warning,Title is 75 characters (recommended: ≤60)
https://truongvietanh.com/100-hoc-sinh-viet-anh-dau-chung-chi-tin-hoc-quoc-te-icdl/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/100-hoc-sinh-viet-anh-dau-chung-chi-tin-hoc-quoc-te-icdl/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/100-hoc-sinh-viet-anh-dau-chung-chi-tin-hoc-quoc-te-icdl/,SEO,Title Too Long,warning,Title is 88 characters (recommended: ≤60)
https://truongvietanh.com/101-phuong-phap-hoc-tieng-anh/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/101-phuong-phap-hoc-tieng-anh/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/11-dai-hoc-anh-duoc-sinh-vien-danh-gia-cao/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/11-dai-hoc-anh-duoc-sinh-vien-danh-gia-cao/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/11-dai-hoc-anh-duoc-sinh-vien-danh-gia-cao/,SEO,Title Too Long,warning,Title is 73 characters (recommended: ≤60)
https://truongvietanh.com/12-nam-den-sach-nay-con-da-lon-khon-ngay-31-thang-05-nam-2018/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/12-nam-den-sach-nay-con-da-lon-khon-ngay-31-thang-05-nam-2018/,Performance,Moderate Response Time,warning,Page took 1130.9ms to respond (recommended: <1000ms)
https://truongvietanh.com/12-nam-den-sach-nay-con-da-lon-khon-ngay-31-thang-05-nam-2018/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/12-nam-den-sach-nay-con-da-lon-khon-ngay-31-thang-05-nam-2018/,SEO,Title Too Long,warning,Title is 98 characters (recommended: ≤60)
https://truongvietanh.com/12866-2/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/12866-2/,Performance,Moderate Response Time,warning,Page took 1832.74ms to respond (recommended: <1000ms)
https://truongvietanh.com/12866-2/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/12866-2/,SEO,Title Too Long,warning,Title is 72 characters (recommended: ≤60)
https://truongvietanh.com/13722-2/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/13722-2/,Performance,Moderate Response Time,warning,Page took 1580.69ms to respond (recommended: <1000ms)
https://truongvietanh.com/13722-2/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/13722-2/,SEO,Title Too Long,warning,Title is 102 characters (recommended: ≤60)
https://truongvietanh.com/15451-2/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/15451-2/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/2-000-cay-mai-anh-dao-da-lat-se-khoe-sac-vao-le-hoi/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/2-000-cay-mai-anh-dao-da-lat-se-khoe-sac-vao-le-hoi/,Performance,Moderate Response Time,warning,Page took 1233.49ms to respond (recommended: <1000ms)
https://truongvietanh.com/2-000-cay-mai-anh-dao-da-lat-se-khoe-sac-vao-le-hoi/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/2-000-cay-mai-anh-dao-da-lat-se-khoe-sac-vao-le-hoi/,SEO,Title Too Long,warning,Title is 82 characters (recommended: ≤60)
https://truongvietanh.com/2-hoc-sinh-doat-giai-ioe-cap-quoc-gia-nam-2016/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/2-hoc-sinh-doat-giai-ioe-cap-quoc-gia-nam-2016/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/2-hoc-sinh-doat-giai-ioe-cap-quoc-gia-nam-2016/,SEO,Title Too Long,warning,Title is 77 characters (recommended: ≤60)
https://truongvietanh.com/23-dieu-giao-vien-chia-se-ve-ngay-bat-dau-nam-hoc/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/23-dieu-giao-vien-chia-se-ve-ngay-bat-dau-nam-hoc/,Performance,Moderate Response Time,warning,Page took 1739.08ms to respond (recommended: <1000ms)
https://truongvietanh.com/23-dieu-giao-vien-chia-se-ve-ngay-bat-dau-nam-hoc/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/23-dieu-giao-vien-chia-se-ve-ngay-bat-dau-nam-hoc/,SEO,Title Too Long,warning,Title is 80 characters (recommended: ≤60)
https://truongvietanh.com/26973-2/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/26973-2/,Performance,Moderate Response Time,warning,Page took 1881.17ms to respond (recommended: <1000ms)
https://truongvietanh.com/26973-2/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/26973-2/,SEO,Title Too Long,warning,Title is 87 characters (recommended: ≤60)
https://truongvietanh.com/3-bat-ngo-lon-cho-nhung-ban-du-hoc-my/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/3-bat-ngo-lon-cho-nhung-ban-du-hoc-my/,SEO,Meta Description Too Long,warning,Description is 177 characters (recommended: ≤160)
https://truongvietanh.com/3-diem-manh-khi-du-hoc-tay-ban-nha/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/3-diem-manh-khi-du-hoc-tay-ban-nha/,SEO,Meta Description Too Long,warning,Description is 265 characters (recommended: ≤160)
https://truongvietanh.com/3-hoc-sinh-dat-giai-ioe-cuoc-thi-olympic-tieng-anh-tren-internet-cua-bo-giao-duc-va-dao-tao/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/3-hoc-sinh-dat-giai-ioe-cuoc-thi-olympic-tieng-anh-tren-internet-cua-bo-giao-duc-va-dao-tao/,Performance,Moderate Response Time,warning,Page took 1531.13ms to respond (recommended: <1000ms)
https://truongvietanh.com/3-hoc-sinh-dat-giai-ioe-cuoc-thi-olympic-tieng-anh-tren-internet-cua-bo-giao-duc-va-dao-tao/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/3-hoc-sinh-dat-giai-ioe-cuoc-thi-olympic-tieng-anh-tren-internet-cua-bo-giao-duc-va-dao-tao/,SEO,Title Too Long,warning,Title is 124 characters (recommended: ≤60)
https://truongvietanh.com/3-luu-y-danh-cho-phu-huynh-khi-tim-truong-mam-non-quoc-te-o-go-vap/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/3-luu-y-danh-cho-phu-huynh-khi-tim-truong-mam-non-quoc-te-o-go-vap/,Performance,Moderate Response Time,warning,Page took 1491.93ms to respond (recommended: <1000ms)
https://truongvietanh.com/3-luu-y-danh-cho-phu-huynh-khi-tim-truong-mam-non-quoc-te-o-go-vap/,SEO,Title Too Long,warning,Title is 66 characters (recommended: ≤60)
https://truongvietanh.com/3-nganh-hot-nhat-khi-du-hoc-singapore/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
https://truongvietanh.com/3-nganh-hot-nhat-khi-du-hoc-singapore/,Performance,Moderate Response Time,warning,Page took 2089.63ms to respond (recommended: <1000ms)
https://truongvietanh.com/3-nganh-hot-nhat-khi-du-hoc-singapore/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/3-nganh-hot-nhat-khi-du-hoc-singapore/,SEO,Title Too Long,warning,Title is 68 characters (recommended: ≤60)
https://truongvietanh.com/3-tieu-chi-phu-huynh-phai-can-nhac-khi-chon-khoa-hoc-he-2017-cho-con/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/3-tieu-chi-phu-huynh-phai-can-nhac-khi-chon-khoa-hoc-he-2017-cho-con/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/3-tieu-chi-phu-huynh-phai-can-nhac-khi-chon-khoa-hoc-he-2017-cho-con/,SEO,Title Too Long,warning,Title is 119 characters (recommended: ≤60)
https://truongvietanh.com/3-tieu-chi-vang-giup-phu-huynh-chon-khoa-he-summer-got-talents-2017-cua-truong-thcs-va-thpt-viet-anh-ngay-18-thang-04-nam-2017/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/3-tieu-chi-vang-giup-phu-huynh-chon-khoa-he-summer-got-talents-2017-cua-truong-thcs-va-thpt-viet-anh-ngay-18-thang-04-nam-2017/,Performance,Moderate Response Time,warning,Page took 1902.5ms to respond (recommended: <1000ms)
https://truongvietanh.com/3-tieu-chi-vang-giup-phu-huynh-chon-khoa-he-summer-got-talents-2017-cua-truong-thcs-va-thpt-viet-anh-ngay-18-thang-04-nam-2017/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/3-tieu-chi-vang-giup-phu-huynh-chon-khoa-he-summer-got-talents-2017-cua-truong-thcs-va-thpt-viet-anh-ngay-18-thang-04-nam-2017/,SEO,Title Too Long,warning,Title is 162 characters (recommended: ≤60)
https://truongvietanh.com/4-bi-kip-de-tap-trung-tot-hon/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/4-bi-kip-de-tap-trung-tot-hon/,SEO,Title Too Long,warning,Title is 76 characters (recommended: ≤60)
https://truongvietanh.com/4-bi-quyet-san-hoc-bong-de-nhu-tro-ban-tay-ngay-27-thang-06-nam-2018/,Accessibility,Images Without Alt Text,warning,16 of 20 images lack alt text
https://truongvietanh.com/4-bi-quyet-san-hoc-bong-de-nhu-tro-ban-tay-ngay-27-thang-06-nam-2018/,SEO,Missing Meta Description,error,Page has no meta description
https://truongvietanh.com/4-bi-quyet-san-hoc-bong-de-nhu-tro-ban-tay-ngay-27-thang-06-nam-2018/,SEO,Title Too Long,warning,Title is 103 characters (recommended: ≤60)
https://truongvietanh.com/4-cach-day-con-dang-hoc-tap-tu-me-do-thai/,Accessibility,Images Without Alt Text,warning,14 of 20 images lack alt text
