STT,URL,Loại file,Layout,Charset UTF-8,Lang vi,Title,Meta Description,Canonical URL,OG Tags,Schema.org,Vietnamese Font Subset,Lead Form/CTA,Đánh giá nội dung,Ghi chú
46,/tuyen-sinh/thcs/checklist,src/pages/tuyen-sinh/thcs/checklist/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Checklist THCS
47,/tuyen-sinh/thcs/chuyen-cap,src/pages/tuyen-sinh/thcs/chuyen-cap/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Chuyển cấp THCS
48,/tuyen-sinh/thcs/dang-ky-som,src/pages/tuyen-sinh/thcs/dang-ky-som/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Đăng ký sớm THCS
49,/tuyen-sinh/thcs/tham-quan-truong,src/pages/tuyen-sinh/thcs/tham-quan-truong/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Tham quan trường THCS
50,/tuyen-sinh/thcs/webinar,src/pages/tuyen-sinh/thcs/webinar/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Webinar THCS
51,/tuyen-sinh/thcs/lop-6/checklist-a,src/pages/tuyen-sinh/thcs/lop-6/checklist-a.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Squeeze lớp 6 variant A
52,/tuyen-sinh/thcs/lop-6/checklist-b,src/pages/tuyen-sinh/thcs/lop-6/checklist-b.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Squeeze lớp 6 variant B
53,/tuyen-sinh/thcs/lop-6/early-bird-a,src/pages/tuyen-sinh/thcs/lop-6/early-bird-a.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Early bird variant A
54,/tuyen-sinh/thcs/lop-6/early-bird-b,src/pages/tuyen-sinh/thcs/lop-6/early-bird-b.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Early bird variant B
55,/tuyen-sinh/thcs/lop-6/pain-point-a,src/pages/tuyen-sinh/thcs/lop-6/pain-point-a.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Pain point variant A
56,/tuyen-sinh/thcs/lop-6/pain-point-b,src/pages/tuyen-sinh/thcs/lop-6/pain-point-b.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Pain point variant B
57,/tuyen-sinh/thcs/lop-6/school-tour-a,src/pages/tuyen-sinh/thcs/lop-6/school-tour-a.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,School tour variant A
58,/tuyen-sinh/thcs/lop-6/school-tour-b,src/pages/tuyen-sinh/thcs/lop-6/school-tour-b.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,School tour variant B
59,/tuyen-sinh/thcs/lop-6/webinar-a,src/pages/tuyen-sinh/thcs/lop-6/webinar-a.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Webinar variant A
60,/tuyen-sinh/thcs/lop-6/webinar-b,src/pages/tuyen-sinh/thcs/lop-6/webinar-b.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Webinar variant B
61,/tuyen-sinh/thpt,src/pages/tuyen-sinh/thpt/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Funnel THPT chính
62,/tuyen-sinh/thpt/ap-luc-thi,src/pages/tuyen-sinh/thpt/ap-luc-thi/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Áp lực thi THPT
63,/tuyen-sinh/thpt/checklist,src/pages/tuyen-sinh/thpt/checklist/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Checklist THPT
64,/tuyen-sinh/thpt/dang-ky-som,src/pages/tuyen-sinh/thpt/dang-ky-som/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Đăng ký sớm THPT
65,/tuyen-sinh/thpt/du-hoc-profile,src/pages/tuyen-sinh/thpt/du-hoc-profile/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Du học profile THPT
66,/tuyen-sinh/thpt/tham-quan-truong,src/pages/tuyen-sinh/thpt/tham-quan-truong/index.astro,Inline HTML,✓,✓,✓,✓,✓,✓,✓,✓,✓,Good,Tham quan trường THPT
67,/tuyen-sinh/mam-non (static),public/tuyen-sinh/mam-non/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Trang tĩnh mầm non
68,/tuyen-sinh/mam-non/cam-on (static),public/tuyen-sinh/mam-non/cam-on/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),–,Good,Cảm ơn mầm non
69,/tuyen-sinh/mam-non/chuong-trinh-hoc (static),public/tuyen-sinh/mam-non/chuong-trinh-hoc/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Chương trình học mầm non
70,/tuyen-sinh/mam-non/hoc-phi (static),public/tuyen-sinh/mam-non/hoc-phi/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Học phí mầm non
71,/tuyen-sinh/mam-non/phu-huynh-noi-gi (static),public/tuyen-sinh/mam-non/phu-huynh-noi-gi/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Phụ huynh nói gì mầm non
72,/tuyen-sinh/mam-non/xac-nhan-tour (static),public/tuyen-sinh/mam-non/xac-nhan-tour/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Xác nhận tour mầm non
73,/tuyen-sinh/tieu-hoc (static),public/tuyen-sinh/tieu-hoc/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Trang tĩnh tiểu học
74,/tuyen-sinh/tieu-hoc/cam-on (static),public/tuyen-sinh/tieu-hoc/cam-on/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),–,Good,Cảm ơn tiểu học
75,/tuyen-sinh/tieu-hoc/chuong-trinh-hoc (static),public/tuyen-sinh/tieu-hoc/chuong-trinh-hoc/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Chương trình học tiểu học
76,/tuyen-sinh/tieu-hoc/hoc-phi (static),public/tuyen-sinh/tieu-hoc/hoc-phi/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Học phí tiểu học
77,/tuyen-sinh/tieu-hoc/phu-huynh-noi-gi (static),public/tuyen-sinh/tieu-hoc/phu-huynh-noi-gi/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Phụ huynh nói gì tiểu học
78,/tuyen-sinh/tieu-hoc/xac-nhan-tour (static),public/tuyen-sinh/tieu-hoc/xac-nhan-tour/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Xác nhận tour tiểu học
79,/tuyen-sinh/thcs (static),public/tuyen-sinh/thcs/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Trang tĩnh THCS
80,/tuyen-sinh/thcs/cam-on (static),public/tuyen-sinh/thcs/cam-on/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),–,Good,Cảm ơn THCS
81,/tuyen-sinh/thcs/chuong-trinh-hoc (static),public/tuyen-sinh/thcs/chuong-trinh-hoc/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Chương trình học THCS
82,/tuyen-sinh/thcs/hoc-phi (static),public/tuyen-sinh/thcs/hoc-phi/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Học phí THCS
83,/tuyen-sinh/thcs/phu-huynh-noi-gi (static),public/tuyen-sinh/thcs/phu-huynh-noi-gi/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Phụ huynh nói gì THCS
84,/tuyen-sinh/thcs/xac-nhan-tour (static),public/tuyen-sinh/thcs/xac-nhan-tour/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Xác nhận tour THCS
85,/tuyen-sinh/thpt (static),public/tuyen-sinh/thpt/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Trang tĩnh THPT
86,/tuyen-sinh/thpt/cam-on (static),public/tuyen-sinh/thpt/cam-on/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),–,Good,Cảm ơn THPT
87,/tuyen-sinh/thpt/chuong-trinh-hoc (static),public/tuyen-sinh/thpt/chuong-trinh-hoc/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Chương trình học THPT
88,/tuyen-sinh/thpt/hoc-phi (static),public/tuyen-sinh/thpt/hoc-phi/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Học phí THPT
89,/tuyen-sinh/thpt/phu-huynh-noi-gi (static),public/tuyen-sinh/thpt/phu-huynh-noi-gi/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Phụ huynh nói gì THPT
90,/tuyen-sinh/thpt/xac-nhan-tour (static),public/tuyen-sinh/thpt/xac-nhan-tour/index.html,Static HTML,✓,✓,✓,✓,✓,✓,✓,✓ (đã sửa),✓,Good,Xác nhận tour THPT
91,/mam-non-preview (static),public/mam-non-preview.html,Static HTML,✓,✓,✓,✓,✓ (đã thêm),✓ (đã thêm),✓ (đã thêm),✓ (đã sửa),–,Good,"ĐÃ SỬA: thêm OG tags, Twitter cards, Schema.org"
