Tên file,Danh mục,Định dạng,Kích thước (px),Dung lượng,URL
hoc-sinh-da-bong-22.webp,Không gian & Thể thao,WebP,1200x801,295.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-22.webp
hoc-sinh-da-bong-23.webp,Không gian & Thể thao,WebP,1200x800,316.9 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-23.webp
hoc-sinh-da-bong-24.webp,Không gian & Thể thao,WebP,1200x800,228.9 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-24.webp
hoc-sinh-da-bong-25.webp,Không gian & Thể thao,WebP,1200x800,197.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-25.webp
hoc-sinh-da-bong-27.webp,Không gian & Thể thao,WebP,1200x800,253.9 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-27.webp
hoc-sinh-da-bong-28.webp,Không gian & Thể thao,WebP,1200x800,273.2 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-28.webp
hoc-sinh-da-bong-29.webp,Không gian & Thể thao,WebP,1200x800,265.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-29.webp
hoc-sinh-da-bong-3.webp,Không gian & Thể thao,WebP,1200x801,204.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-3.webp
hoc-sinh-da-bong-31.webp,Không gian & Thể thao,WebP,1200x800,154.2 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-31.webp
hoc-sinh-da-bong-32.webp,Không gian & Thể thao,WebP,1200x801,310.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-32.webp
hoc-sinh-da-bong-33.webp,Không gian & Thể thao,WebP,1200x801,336.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-33.webp
hoc-sinh-da-bong-4.webp,Không gian & Thể thao,WebP,1200x800,91.2 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-4.webp
hoc-sinh-da-bong-5.webp,Không gian & Thể thao,WebP,1200x801,197.2 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-5.webp
hoc-sinh-da-bong-6.webp,Không gian & Thể thao,WebP,1200x800,205.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-6.webp
hoc-sinh-da-bong-7.webp,Không gian & Thể thao,WebP,1200x800,197.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-7.webp
hoc-sinh-da-bong-8.webp,Không gian & Thể thao,WebP,1200x800,229.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-8.webp
hoc-sinh-da-bong-9.webp,Không gian & Thể thao,WebP,1200x801,145.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-da-bong-9.webp
hoc-sinh-tap-boi-1.webp,Không gian & Thể thao,WebP,1200x801,160.2 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-1.webp
hoc-sinh-tap-boi-10.webp,Không gian & Thể thao,WebP,1200x800,208.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-10.webp
hoc-sinh-tap-boi-11.webp,Không gian & Thể thao,WebP,1200x800,191.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-11.webp
hoc-sinh-tap-boi-12.webp,Không gian & Thể thao,WebP,1200x801,249.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-12.webp
hoc-sinh-tap-boi-13.webp,Không gian & Thể thao,WebP,1200x800,218.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-13.webp
hoc-sinh-tap-boi-14.webp,Không gian & Thể thao,WebP,1200x800,147.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-14.webp
hoc-sinh-tap-boi-15.webp,Không gian & Thể thao,WebP,1200x1800,278.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-15.webp
hoc-sinh-tap-boi-16.webp,Không gian & Thể thao,WebP,1200x800,175.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-16.webp
hoc-sinh-tap-boi-17.webp,Không gian & Thể thao,WebP,1200x800,148.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-17.webp
hoc-sinh-tap-boi-2.webp,Không gian & Thể thao,WebP,1200x801,131.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-2.webp
hoc-sinh-tap-boi-3.webp,Không gian & Thể thao,WebP,1200x800,173.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-3.webp
hoc-sinh-tap-boi-4.webp,Không gian & Thể thao,WebP,1200x800,189.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-4.webp
hoc-sinh-tap-boi-5.webp,Không gian & Thể thao,WebP,1200x800,112.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-5.webp
hoc-sinh-tap-boi-6.webp,Không gian & Thể thao,WebP,1200x801,205.6 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-6.webp
hoc-sinh-tap-boi-7.webp,Không gian & Thể thao,WebP,1200x800,153.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-7.webp
hoc-sinh-tap-boi-8.webp,Không gian & Thể thao,WebP,1200x801,226.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-8.webp
hoc-sinh-tap-boi-9.webp,Không gian & Thể thao,WebP,1200x801,137.2 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-boi-9.webp
hoc-sinh-tap-vo-1.webp,Không gian & Thể thao,WebP,1200x800,73.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-1.webp
hoc-sinh-tap-vo-10.webp,Không gian & Thể thao,WebP,1200x900,101.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-10.webp
hoc-sinh-tap-vo-11.webp,Không gian & Thể thao,WebP,1200x900,96.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-11.webp
hoc-sinh-tap-vo-12.webp,Không gian & Thể thao,WebP,1200x900,101.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-12.webp
hoc-sinh-tap-vo-13.webp,Không gian & Thể thao,WebP,1200x900,101.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-13.webp
hoc-sinh-tap-vo-14.webp,Không gian & Thể thao,WebP,1200x900,101.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-14.webp
hoc-sinh-tap-vo-15.webp,Không gian & Thể thao,WebP,1200x800,74.9 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-15.webp
hoc-sinh-tap-vo-16.webp,Không gian & Thể thao,WebP,1200x1801,155.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-16.webp
hoc-sinh-tap-vo-17.webp,Không gian & Thể thao,WebP,1200x800,86.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-17.webp
hoc-sinh-tap-vo-18.webp,Không gian & Thể thao,WebP,1200x800,76.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-18.webp
hoc-sinh-tap-vo-2.webp,Không gian & Thể thao,WebP,1200x800,94.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-2.webp
hoc-sinh-tap-vo-3.webp,Không gian & Thể thao,WebP,1200x800,98.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-3.webp
hoc-sinh-tap-vo-4.webp,Không gian & Thể thao,WebP,1200x1801,124.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-4.webp
hoc-sinh-tap-vo-5.webp,Không gian & Thể thao,WebP,1200x800,84.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-5.webp
hoc-sinh-tap-vo-6.webp,Không gian & Thể thao,WebP,1200x1801,156.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-6.webp
hoc-sinh-tap-vo-7.webp,Không gian & Thể thao,WebP,1200x1801,105.9 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-7.webp
hoc-sinh-tap-vo-8.webp,Không gian & Thể thao,WebP,1200x1801,108.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-8.webp
hoc-sinh-tap-vo-9.webp,Không gian & Thể thao,WebP,1200x800,102.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-tap-vo-9.webp
hoc-sinh-viet-anh-choi-da-bong-1.webp,Không gian & Thể thao,WebP,1200x800,169.2 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-viet-anh-choi-da-bong-1.webp
hoc-sinh-viet-anh-choi-da-bong-2.webp,Không gian & Thể thao,WebP,1200x800,265.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-viet-anh-choi-da-bong-2.webp
hoc-sinh-viet-anh-choi-da-bong-3.webp,Không gian & Thể thao,WebP,1200x800,274.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-viet-anh-choi-da-bong-3.webp
hoc-sinh-viet-anh-choi-da-bong-4.webp,Không gian & Thể thao,WebP,1200x801,227.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-viet-anh-choi-da-bong-4.webp
hoc-sinh-viet-anh-choi-da-bong-5.webp,Không gian & Thể thao,WebP,1200x800,221.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-viet-anh-choi-da-bong-5.webp
hoc-sinh-viet-anh-hoc-the-duc.webp,Không gian & Thể thao,WebP,1200x800,94.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-viet-anh-hoc-the-duc.webp
hoc-sinh-viet-anh-trong-gio-hoc-bong-ro.webp,Không gian & Thể thao,WebP,1200x1600,203.4 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-viet-anh-trong-gio-hoc-bong-ro.webp
hoc-sinh-vui-choi-1.webp,Không gian & Thể thao,WebP,1200x1800,102.6 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-vui-choi-1.webp
hoc-sinh-vui-choi-2.webp,Không gian & Thể thao,WebP,1200x801,96.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-vui-choi-2.webp
hoc-sinh-vui-choi-3.webp,Không gian & Thể thao,WebP,1200x800,48.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-vui-choi-3.webp
hoc-sinh-vui-choi-4.webp,Không gian & Thể thao,WebP,1200x900,238.5 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-vui-choi-4.webp
hoc-sinh-vui-choi-5.webp,Không gian & Thể thao,WebP,1200x1600,255.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/hoc-sinh-vui-choi-5.webp
moi-truong-nhin-06844.webp,Không gian & Thể thao,WebP,1200x800,100.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06844.webp
moi-truong-nhin-06846.webp,Không gian & Thể thao,WebP,1200x800,120.9 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06846.webp
moi-truong-nhin-06849.webp,Không gian & Thể thao,WebP,1200x801,107.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06849.webp
moi-truong-nhin-06850.webp,Không gian & Thể thao,WebP,1200x800,106.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06850.webp
moi-truong-nhin-06851.webp,Không gian & Thể thao,WebP,1200x800,98.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06851.webp
moi-truong-nhin-06852.webp,Không gian & Thể thao,WebP,1200x800,99.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06852.webp
moi-truong-nhin-06853.webp,Không gian & Thể thao,WebP,1200x800,93.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06853.webp
moi-truong-nhin-06854.webp,Không gian & Thể thao,WebP,1200x801,31.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06854.webp
moi-truong-nhin-06855.webp,Không gian & Thể thao,WebP,1200x801,122.4 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06855.webp
moi-truong-nhin-06856.webp,Không gian & Thể thao,WebP,1200x800,101.1 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06856.webp
moi-truong-nhin-06857.webp,Không gian & Thể thao,WebP,1200x801,88.2 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06857.webp
moi-truong-nhin-06858.webp,Không gian & Thể thao,WebP,1200x800,102.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06858.webp
moi-truong-nhin-06859.webp,Không gian & Thể thao,WebP,1200x800,110.7 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06859.webp
moi-truong-nhin-06860.webp,Không gian & Thể thao,WebP,1200x800,104.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06860.webp
moi-truong-nhin-06861.webp,Không gian & Thể thao,WebP,1200x800,147.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06861.webp
moi-truong-nhin-06862.webp,Không gian & Thể thao,WebP,1200x800,127.6 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06862.webp
moi-truong-nhin-06863.webp,Không gian & Thể thao,WebP,1200x800,123.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06863.webp
moi-truong-nhin-06864.webp,Không gian & Thể thao,WebP,1200x800,119.0 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06864.webp
moi-truong-nhin-06865.webp,Không gian & Thể thao,WebP,1200x1800,213.6 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06865.webp
moi-truong-nhin-06866.webp,Không gian & Thể thao,WebP,1200x800,19.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06866.webp
moi-truong-nhin-06867.webp,Không gian & Thể thao,WebP,1200x801,79.3 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06867.webp
moi-truong-nhin-06870.webp,Không gian & Thể thao,WebP,1200x800,94.8 KB,https://media.truongvietanh.com/images/khong-gian-the-thao/moi-truong-nhin-06870.webp
dsc02486.webp,Thuyết trình,WebP,1200x800,69.2 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02486.webp
dsc02488.webp,Thuyết trình,WebP,1200x801,70.2 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02488.webp
dsc02493.webp,Thuyết trình,WebP,1200x800,58.9 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02493.webp
dsc02496.webp,Thuyết trình,WebP,1200x800,47.0 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02496.webp
dsc02497.webp,Thuyết trình,WebP,1200x801,49.8 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02497.webp
dsc02498.webp,Thuyết trình,WebP,1200x800,47.3 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02498.webp
dsc02504.webp,Thuyết trình,WebP,1200x800,56.2 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02504.webp
dsc02505.webp,Thuyết trình,WebP,1200x801,56.2 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02505.webp
dsc02508.webp,Thuyết trình,WebP,1200x800,56.3 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02508.webp
dsc02510.webp,Thuyết trình,WebP,1200x800,55.3 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02510.webp
dsc02511.webp,Thuyết trình,WebP,1200x801,46.0 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02511.webp
dsc02513.webp,Thuyết trình,WebP,1200x800,47.6 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02513.webp
dsc02515.webp,Thuyết trình,WebP,1200x800,48.6 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc02515.webp
dsc08301.webp,Thuyết trình,WebP,1200x800,52.9 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc08301.webp
dsc08764.webp,Thuyết trình,WebP,1200x800,64.9 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc08764.webp
dsc08817.webp,Thuyết trình,WebP,1200x801,37.9 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc08817.webp
dsc08819.webp,Thuyết trình,WebP,1200x800,61.5 KB,https://media.truongvietanh.com/images/thuyet-trinh/dsc08819.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-1.webp,Thuyết trình,WebP,1200x800,69.3 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-1.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-10.webp,Thuyết trình,WebP,1200x801,60.6 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-10.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-11.webp,Thuyết trình,WebP,1200x801,50.5 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-11.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-12.webp,Thuyết trình,WebP,1200x800,76.9 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-12.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-13.webp,Thuyết trình,WebP,1200x801,42.3 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-13.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-2.webp,Thuyết trình,WebP,1200x800,90.1 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-2.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-3.webp,Thuyết trình,WebP,1200x800,49.2 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-3.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-5.webp,Thuyết trình,WebP,1200x800,79.4 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-5.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-6.webp,Thuyết trình,WebP,1200x800,83.6 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-6.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-7.webp,Thuyết trình,WebP,1200x800,58.8 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-7.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-8.webp,Thuyết trình,WebP,1200x800,49.4 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-8.webp
hoc-sinh-cap-2-thuyet-trinh-english-contest-9.webp,Thuyết trình,WebP,1200x800,76.6 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-cap-2-thuyet-trinh-english-contest-9.webp
hoc-sinh-thuyet-trinh-1.webp,Thuyết trình,WebP,1200x800,76.6 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-thuyet-trinh-1.webp
hoc-sinh-thuyet-trinh-10.webp,Thuyết trình,WebP,1200x800,86.8 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-thuyet-trinh-10.webp
hoc-sinh-thuyet-trinh-11.webp,Thuyết trình,WebP,1200x800,71.2 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-thuyet-trinh-11.webp
hoc-sinh-thuyet-trinh-12.webp,Thuyết trình,WebP,1200x1800,81.5 KB,https://media.truongvietanh.com/images/thuyet-trinh/hoc-sinh-thuyet-trinh-12.webp
